time,open,high,low,close,volume
2021-10-29 20:00:00,149.84,149.96,149.83,149.9201,52553
2021-10-29 19:00:00,149.88,149.9,149.81,149.84,58196
2021-10-29 18:00:00,149.82,149.94,149.8,149.9,124526
2021-10-29 17:00:00,149.8,149.9,149.65,149.8,8553627
2021-10-29 16:00:00,149.155,149.94,148.98,149.8,15974095
2021-10-29 15:00:00,148.68,149.31,148.54,149.15,8174399
2021-10-29 14:00:00,149.38,149.5,148.61,148.685,7889737
2021-10-29 13:00:00,148.315,149.505,148.285,149.375,13715862
2021-10-29 12:00:00,147.255,148.64,147.02,148.32,12461697
2021-10-29 11:00:00,147.13,147.82,146.91,147.26,17532387
2021-10-29 10:00:00,147.2,148.7,146.4128,147.125,30147344
2021-10-29 09:00:00,147.1101,147.48,146.8,147.2,1404398
2021-10-29 08:00:00,147.28,147.5,146.95,147.3,427095
2021-10-29 07:00:00,147.5,147.56,146.5,147.24,105796
2021-10-29 06:00:00,147.59,147.73,147.21,147.51,55072
2021-10-29 05:00:00,147.0,147.74,146.73,147.6,169640
2021-10-28 20:00:00,147.0,147.2,146.75,147.19,443820
2021-10-28 19:00:00,146.98,147.34,146.75,147.01,525771
2021-10-28 18:00:00,146.91,152.57,146.48,146.98,3285261
2021-10-28 17:00:00,152.57,152.58,144.42,146.99,9488293
2021-10-28 16:00:00,152.615,152.69,152.17,152.4766,13847682
2021-10-28 15:00:00,152.5,152.89,152.455,152.615,6902873
2021-10-28 14:00:00,152.204,152.7,152.15,152.4929,5894208
2021-10-28 13:00:00,152.63,152.84,151.97,152.2,8181939
2021-10-28 12:00:00,152.55,153.165,152.32,152.635,11392902
2021-10-28 11:00:00,152.06,152.92,151.7,152.5452,16070250
2021-10-28 10:00:00,149.79,152.11,148.85,152.07,16340792
2021-10-28 09:00:00,149.7001,149.99,148.478,149.78,706387
2021-10-28 08:00:00,149.75,150.0,149.5,149.64,164448
2021-10-28 07:00:00,149.39,149.8,149.35,149.75,25744
2021-10-28 06:00:00,149.4,149.46,149.34,149.4,18834
2021-10-28 05:00:00,149.2,149.6,149.2,149.38,23208
2021-10-27 20:00:00,149.17,149.17,149.0,149.07,102575
2021-10-27 19:00:00,149.09,149.17,149.07,149.14,64216
2021-10-27 18:00:00,148.97,149.11,148.89,149.08,58017
2021-10-27 17:00:00,148.85,149.1295,148.8,148.92,4553042
2021-10-27 16:00:00,149.47,149.55,148.8,148.85,8521812
2021-10-27 15:00:00,149.5875,149.73,149.45,149.47,4353051
2021-10-27 14:00:00,149.43,149.72,149.395,149.585,4371669
2021-10-27 13:00:00,149.1801,149.51,149.15,149.43,4018208
2021-10-27 12:00:00,148.8,149.5116,148.7,149.18,5767671
2021-10-27 11:00:00,149.39,149.41,148.49,148.795,8408866
2021-10-27 10:00:00,149.4,149.69,148.49,149.39,8439651
2021-10-27 09:00:00,149.12,149.42,148.8,149.4,294765
2021-10-27 08:00:00,149.08,149.28,148.8,148.85,159925
2021-10-27 07:00:00,149.11,149.18,148.82,149.07,19261
2021-10-27 06:00:00,149.3,149.44,148.98,149.12,19885
2021-10-27 05:00:00,149.47,149.72,149.33,149.33,18300
2021-10-26 20:00:00,149.4,149.5,149.34,149.34,53475
2021-10-26 19:00:00,149.33,149.48,149.3,149.38,37399
2021-10-26 18:00:00,149.3,149.51,149.21,149.33,57499
2021-10-26 17:00:00,149.32,149.56,149.2,149.31,4371580
2021-10-26 16:00:00,149.3699,149.835,149.25,149.26,7834616
2021-10-26 15:00:00,149.615,149.71,149.11,149.36,4624144
2021-10-26 14:00:00,149.46,149.9,149.29,149.615,4898860
2021-10-26 13:00:00,149.61,149.859,149.2,149.4604,6581677
2021-10-26 12:00:00,149.39,150.0499,149.38,149.605,8326598
2021-10-26 11:00:00,149.63,149.89,149.0101,149.38,9106382
